date,actual_y_h5,lasso_bic_y_h5,lasso_bic_var_count_y_h5,lasso_aic_y_h5,lasso_aic_var_count_y_h5,lasso_cv_y_h5,lasso_cv_var_count_y_h5,lasso_val_y_h5,lasso_val_var_count_y_h5,ridge_cv_y_h5,ridge_val_y_h5
2024-12-16,-7.472773492215738,-7.784234379986272,4,-7.795436659542022,38,-7.794012075697589,38,-7.77206443849008,3,-7.580573419329865,-7.406946378455171
2024-12-17,-7.349660055218582,-7.57444885444377,4,-7.599167994061234,39,-7.59858403082228,38,-7.582537117138572,3,-7.531342558953499,-7.335858017770258
2024-12-18,-6.840440061328796,-7.309182983963387,4,-7.221832507736326,40,-7.227106900322184,39,-7.324107387062196,3,-7.369808340183356,-7.19011695691432
2024-12-19,-7.374187208078972,-7.348304838938564,4,-7.399126151929595,38,-7.3993771319560135,37,-7.370638091698997,3,-7.405941879274528,-7.069117339858655
2024-12-20,-7.715762789103233,-7.0047148824179,4,-6.855192103530749,38,-6.859242180252784,37,-7.0507629336650695,3,-6.7926447730230395,-6.930040371193233
2024-12-21,-7.307697534873444,-6.845617981776451,4,-6.912059913200719,39,-6.914169115803669,38,-6.89827333395395,3,-6.653272163947242,-6.8428508070828045
2024-12-22,-7.106588924470662,-6.93590128669158,4,-6.965029738684659,39,-6.9678035088664645,36,-6.96967569229877,3,-6.977013159887972,-7.131371781467124
2024-12-23,-8.634132442724063,-7.416776167042693,4,-7.464930125430697,39,-7.467189481046208,36,-7.408715084333983,3,-7.446571914410879,-7.389113814509665
2024-12-24,-8.326756050975344,-7.303295212004233,4,-7.324911815858204,39,-7.324689242676879,37,-7.3303005355855975,3,-7.365605534863927,-7.381667762602477
2024-12-25,-7.3543943334481,-7.162623320951733,4,-7.137677304942311,39,-7.138545651225359,38,-7.187483854435734,3,-7.099073461883016,-7.258083433400604
2024-12-26,-7.276893060792656,-7.371850896876166,4,-7.306990758655018,38,-7.312549028842751,38,-7.38533125216371,3,-6.940737654538741,-7.172037627373432
2024-12-27,-8.238782332690736,-7.4659429772470505,4,-7.454617612221213,38,-7.458013458227883,37,-7.4747889840488195,3,-7.201282118238653,-7.256081204835591
2024-12-28,-7.367896287600902,-7.29011915205908,4,-7.287465418976011,38,-7.287869151292804,38,-7.316497668421211,3,-7.397176176150347,-7.388594488502121
2024-12-29,-8.097617541330267,-7.35425634649835,4,-7.39641142435105,38,-7.397368411166533,38,-7.354575467721392,3,-7.522659128239099,-7.433714929385879
2024-12-30,-9.19804542909942,-7.885940941673718,4,-7.891060099522247,38,-7.8926396730258315,38,-7.870317549511438,3,-7.698030091664081,-7.4464243868257
2024-12-31,-8.787325094170878,-7.691220850429123,4,-7.686882736202335,39,-7.688110537801062,37,-7.696832260971639,3,-7.517152881670482,-7.426608396188694
2025-01-01,-7.415021751205516,-7.3237205185396475,4,-7.340893927055293,38,-7.340493881870551,37,-7.347001135204384,3,-7.364752846552444,-7.4179883155223045
