day,EMA10,EMA30,EMA200,RSI14,MOM10,ROC10,ATR14,BB_WIDTH,OBV,STOCH_K
2025-06-05,104727.63109206963,104772.09264696352,105072.88146960584,38.7746444731738,-105.02000000000407,-0.0010020812603743767,71.75285714285981,0.00230542962749496,-57345.17751200805,29.960309170672513
2025-06-06,101589.8643995816,101554.14804599395,103118.62800889091,40.891426758663734,-183.61000000000058,-0.0018055449434760673,135.01500000000047,0.004908469044565719,-59981.98638200803,11.994402432786902
2025-06-07,104318.99953291277,104341.21851035563,104129.40456219418,45.67154312649173,83.27000000000407,0.0007990966283151213,66.5814285714306,0.0025126283098541643,-57808.24069200805,32.35814396516464
2025-06-08,105631.8644297095,105711.12296750711,105433.8471449311,16.152200488998133,-185.18000000000757,-0.001751320938404688,55.645000000004075,0.0042546692102107065,-57024.51527200806,5.091541613841624
2025-06-09,105697.96890838513,105852.18127857306,105897.38830130441,49.73271220741505,87.66000000000349,0.0008297495209015349,106.34500000000013,0.005296135956193311,-56982.71711200809,71.34088584094214
2025-06-10,110153.94536840681,109939.50745892026,108218.0154042133,54.82952652074143,251.13000000000466,0.0022827532551255025,144.1757142857137,0.004172456884525119,-53230.23930200813,88.6179406444698
2025-06-11,110055.64629429275,109896.82668585985,109410.86927232053,74.08448383198416,654.3899999999994,0.005969622331691182,131.557857142858,0.0072445643855053,-51879.881762008146,96.37860317551103
2025-06-12,108601.18951144186,108587.91627171174,109103.91153889662,70.2097524785859,153.72999999999593,0.0014169788035713893,85.3807142857144,0.005870622221264948,-52079.87536200813,87.29170630929389
2025-06-13,105924.07769186696,106051.66082525629,107112.06316019422,43.17721254147098,-340.34000000001106,-0.003210389156631077,168.20785714285532,0.004639032928747673,-53585.61266200809,0.0021354745013157377
2025-06-14,105952.34318749762,105771.78290909089,105324.38659698037,70.33428087246537,159.97000000000116,0.0015104815921800352,77.35642857143102,0.005782979614899246,-57623.81724200804,73.70675606462635
2025-06-15,105419.04958631308,105327.5265055785,105045.28122359389,61.58340916710628,-22.25,-0.000211026709911466,51.2957142857132,0.0016966580344344071,-58260.665702008,59.68169761273188
2025-06-16,105478.51243704061,105289.882718353,105278.08675774213,67.17636856606524,237.50999999999476,0.0022543459587209824,108.8535714285733,0.005550671549745785,-58811.483852008045,94.10000991178227
2025-06-17,107238.40632809949,107758.1528812291,107540.49087793082,32.7850178692899,-934.9900000000052,-0.008679051015914707,257.71500000000066,0.019644211457143228,-59365.44906200802,7.370013176052212
2025-06-18,104599.39121639324,104561.63859542376,105108.08602059085,47.818861263426406,84.27999999999884,0.0008067627934553734,101.53714285714211,0.004898515471185924,-61052.910532008005,65.91512943141151
2025-06-19,104787.0046514547,104777.81065183744,104644.58875145427,50.43442601942735,26.789999999993597,0.0002554835261761035,84.2264285714274,0.0036702279964193007,-60978.048502007965,78.58258074391412
2025-06-20,104671.95997718892,104585.5966590067,104527.83222381597,45.608097218192825,82.0,0.0007841143032107922,101.02642857142824,0.0034270024558034754,-60612.79811200792,44.86026451983872
2025-06-21,103251.83800846514,103272.18161956208,104054.96631275387,64.93150370591356,114.16000000000349,0.0011063749038973114,95.80214285714361,0.00390732391517842,-61245.48250200786,88.83928571428592
2025-06-22,101605.42194814862,101734.35568647001,102865.14906451243,59.85511647074124,527.8399999999965,0.005195676005345762,301.0071428571443,0.01027449547964476,-63093.36110200779,86.36587156704856
2025-06-23,100833.26213397109,100446.16721031646,100562.3621310675,62.217287373230086,243.86999999999534,0.0024212668784748814,175.67000000000033,0.00882834832564402,-67138.28434200776,82.99702123570697
2025-06-24,105380.79818133719,104996.03887879245,102824.71060505442,51.57626314848312,-28.280000000013388,-0.0002684074299506012,246.26999999999992,0.00729572917991849,-63529.36849200778,49.380866481179844
2025-06-25,105935.25077783134,105897.52114476061,105450.88161376564,61.11973361176153,203.0,0.00191726482810739,81.52785714285606,0.0027179118600489977,-62975.301242007816,100.0
2025-06-26,107246.79539460194,107330.81029225055,107165.4069381555,56.335034899468305,140.5899999999965,0.001311474002936075,96.43142857142811,0.0028975743404967697,-61027.07003200789,88.33316390498698
2025-06-27,106960.99755051093,107060.43325851166,107303.93789497248,46.13105195239616,32.080000000001746,0.000300051498863807,81.34214285713928,0.003117648044436215,-61787.69208200787,34.76369220269544
2025-06-28,107040.4495131697,107069.63956721536,107031.43766214134,42.68789751858793,-75.38000000000466,-0.0007036772785520284,48.301428571429696,0.0026611779467545817,-62306.43262200789,40.99174342576237
2025-06-29,107305.6353633894,107303.40893782886,107274.62449843802,27.494299866342104,-40.68000000000757,-0.000378991604702561,12.095000000001164,0.0009778201260629183,-62199.02874200789,14.709879769987756
2025-06-30,108295.19908744373,108069.49547507001,107733.0091945538,55.41143250551174,215.34999999999127,0.0019913709416858882,131.46428571428572,0.005609886878723389,-61867.14672200798,81.20465984545767
2025-07-01,107135.70166833521,107207.43419646894,107497.66464747036,50.76321500959581,11.89999999999418,0.00011107522686404359,63.77000000000304,0.0026386140734967123,-63505.87874200791,49.224417575939235
2025-07-02,105575.77205818247,105641.81337001474,106150.3352753894,44.835644778177794,235.8000000000029,0.0022362296901883294,74.39428571428496,0.00512838088477316,-64374.40219200785,78.65469749139315
2025-07-03,108914.55104293668,109083.20523594935,108470.88455620407,27.212066664598808,-244.65999999998894,-0.0022426477800022715,70.5085714285711,0.006786630183410875,-62800.893152007826,28.77314506460777
2025-07-04,109603.80103987268,109676.96382636635,109541.43122020835,35.37608963857387,-198.47999999999593,-0.0018079259078296328,51.51571428571333,0.0031079041152797687,-60417.94684200771,24.122580645160916
2025-07-05,108059.17746366544,108026.19737903094,108189.58347161661,33.68818363888552,-163.75999999999476,-0.0015142212523577836,58.218571428572304,0.0030658738598834012,-63821.01267200777,8.836206896553298
2025-07-06,108202.54185618249,108168.11200682967,108103.17922575946,53.5015890820703,-18.210000000006403,-0.00016827404884278696,21.53785714285706,0.0013209608809304388,-63709.04156200776,30.826666666660458
2025-07-07,109181.57871167798,109155.86905806889,108683.541120383,43.299472693572945,47.61000000000058,0.0004361638359990927,110.99357142857063,0.0038255277323742676,-62768.87866200775,58.529898613698336
